level,name,novelty_factor
genus,Sphaeropleales.U.genus,1.931
genus,Sphaeropleales_XX,0.034
genus,Babesiidae.U.genus,1.667
genus,Daphnia,1.0
genus,Mortierella,0.3
genus,Russula,3.087
genus,Acanthamoeba,4.952
genus,Acanthamoebidae_X,0.762
genus,Ostreococcus,24.417
genus,Chlamydomonas,1.353
genus,Danio,8.125
genus,Eimeria1,4.0
genus,Phialophora,2.5
genus,Rhizophydiales_XX,12.077
genus,Apis,39.333
genus,Rhizophydiales.U.genus,2.231
genus,Heterodera,22.8
genus,Tetramitia_I_XX,6.444
genus,Tetramitia_I.U.genus,22.222
genus,Schistosoma,14.615
genus,Chytridiales_XX,0.045
genus,Heterolobosea.U.genus,99.556
genus,Sorghum,1.0
genus,Thalassiosira,17.167
genus,Paramecium,6.5
genus,Labyrinthulomycetes.U.genus,0.95
genus,Pristionchus,8.75
genus,Rattus,29.0
genus,Mastigamoebida.U.genus,0.143
genus,Nannochloropsis,6.5
genus,Coccidioides,5.5
genus,Batrachochytrium,1.5
genus,Cladophialophora,0.111
genus,Theileria1,14.429
genus,Culex,12.4
genus,Skeletonema,0.125
genus,Taphrina,1.889
genus,Teratosphaeria,3.625
genus,Lecanicillium,32.143
genus,Mrakia,1.375
genus,Ectocarpus,8.556
genus,Anolis,0.5
genus,Bicoecea_XXX,1.167
genus,Bicoecea.U.genus,46.667
genus,Auxenochlorella,5.75
genus,Blastocladiomycetes.U.genus,0.375
genus,Ditylenchus,1.333
genus,Perkinsida_XXX,55.25
genus,Perkinsida_X.U.genus,7.25
genus,Ichthyophonida_XXX,1.0
genus,Brachypodium,1.75
genus,Chrysaora,2.6
genus,Piromyces,0.333
genus,Cercozoa.U.genus,230.4
genus,Cercozoa_XXXX,2.4
genus,Smittium,10.0
genus,Chloropicon,3.75
genus,Conus,7.5
genus,Xenopus,1.25
genus,Crassostrea,3.25
genus,Hyaloscypha,8.0
genus,Endomyxa-Ascetosporea_XXX,0.667
genus,Cafeteria,9.0
genus,Ulva,13.75
genus,Euglenida.U.genus,508.667
genus,Phytomonas,0.75
genus,Aureococcus,36.0
genus,Strigomonas,2.0
genus,Cyanidioschyzon,2.0
genus,Chlorociboria,28.0
genus,Micractinium,0.5
genus,Nematostella,14.0
genus,Phaeosphaeria,57.333
genus,Foraminifera.U.genus,107.333
genus,Allomyces,5.333
genus,Botryococcus,5.0
genus,Paramoeba,10.0
genus,Monoraphidium,0.333
genus,Eurytemora,7.0
genus,Venturia,4.0
genus,Colpodellida_CHR1_X,9.0
genus,Panellus,1.0
genus,Rozellomycota_XXX,134.0
genus,Coelomomyces,10.0
genus,Rhizoclosmatium,4.0
genus,Acyrthosiphon,24.5
genus,Balamuthia,8.0
